5/18 22:21:01.796  SPELL_AURA_REFRESH,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,424368,"Trembling Earth",0x1,BUFF
5/18 22:21:01.833  SPELL_AURA_REMOVED,Player-3391-0CD31AD0,"Xdenaris-Silvermoon",0x512,0x0,Player-3391-0CD31AD0,"Xdenaris-Silvermoon",0x512,0x0,386353,"Iridescence: Red",0x4,BUFF
5/18 22:21:01.883  SPELL_AURA_REMOVED,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,385126,"Blessing of Dusk",0x1,BUFF
5/18 22:21:01.958  SPELL_AURA_REMOVED,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,426269,"Bramble Barrier",0x8,BUFF,141004
5/18 22:21:01.959  SPELL_AURA_APPLIED,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,426322,"Invigorating Brambles",0x1,BUFF
5/18 22:21:02.246  SPELL_PERIODIC_HEAL,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,77489,"Echo of Light",0x2,Player-3674-0B510B84,0000000000000000,1353481,1353481,21085,2174,15899,0,0,250000,250000,0,-173.07,-964.57,2080,2.4571,505,1917,1917,1917,0,nil
5/18 22:21:02.246  SPELL_AURA_REMOVED,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,77489,"Echo of Light",0x2,BUFF
5/18 22:21:02.308  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,407244,"Bronze Aspect's Favor",0x40,BUFF
5/18 22:21:02.347  SPELL_AURA_REMOVED,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,17,"Power Word: Shield",0x2,BUFF,61850
5/18 22:21:02.622  SPELL_AURA_REMOVED_DOSE,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,203981,"Soul Fragments",0x1,BUFF,1
5/18 22:21:02.723  SPELL_CAST_SUCCESS,Player-3391-0CD31AD0,"Xdenaris-Silvermoon",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,358733,"Glide",0x1,Player-3391-0CD31AD0,0000000000000000,836096,836096,3298,13375,10855,0,0,250000,250000,0,-169.36,-959.27,2080,2.4862,454
5/18 22:21:03.009  SPELL_AURA_REMOVED,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,407475,"Consecrated Blade",0x2,DEBUFF
5/18 22:21:03.222  SPELL_PERIODIC_HEAL,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,139,"Renew",0x2,Player-1305-0BEB23B6,0000000000000000,1420696,1420696,15120,1423,17898,0,17,58,120,0,-206.23,-934.37,2080,2.4465,458,13968,13968,13968,0,1
5/18 22:21:03.222  SPELL_PERIODIC_HEAL_SUPPORT,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,395152,"Ebon Might",0xc,Player-1305-0BEB23B6,0000000000000000,1420696,1420696,15120,1423,17898,0,17,58,120,0,-206.23,-934.37,2080,2.4465,458,1264,1264,1264,0,1,Player-1305-0C594315
5/18 22:21:03.222  SPELL_PERIODIC_HEAL_SUPPORT,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,410089,"Prescience",0x40,Player-1305-0BEB23B6,0000000000000000,1420696,1420696,15120,1423,17898,0,17,58,120,0,-206.23,-934.37,2080,2.4465,458,496,496,496,0,1,Player-1305-0C594315
5/18 22:21:03.634  SPELL_AURA_REMOVED,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,203981,"Soul Fragments",0x1,BUFF
5/18 22:21:03.722  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,395296,"Ebon Might",0xc,BUFF
5/18 22:21:03.722  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,395152,"Ebon Might",0xc,BUFF
5/18 22:21:03.722  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,395152,"Ebon Might",0xc,BUFF
5/18 22:21:03.722  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,395152,"Ebon Might",0xc,BUFF
5/18 22:21:03.722  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-3391-0CD31AD0,"Xdenaris-Silvermoon",0x512,0x0,395152,"Ebon Might",0xc,BUFF
5/18 22:21:03.897  SPELL_PERIODIC_HEAL,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,139,"Renew",0x2,Player-1305-0BEB23B6,0000000000000000,1420696,1420696,13661,1423,17600,0,17,58,120,0,-206.82,-933.88,2080,2.4465,458,3463,3463,3463,0,1
5/18 22:21:03.897  SPELL_PERIODIC_HEAL_SUPPORT,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,410089,"Prescience",0x40,Player-1305-0BEB23B6,0000000000000000,1420696,1420696,13661,1423,17600,0,17,58,120,0,-206.82,-933.88,2080,2.4465,458,132,132,132,0,1,Player-1305-0C594315
5/18 22:21:03.897  SPELL_AURA_REMOVED,Player-3674-0B3FBD4C,"Valdrinn-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,139,"Renew",0x2,BUFF
5/18 22:21:03.972  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-3391-0CD31AD0,"Xdenaris-Silvermoon",0x512,0x0,413984,"Shifting Sands",0x40,BUFF
5/18 22:21:04.559  SPELL_AURA_REMOVED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,424368,"Trembling Earth",0x1,BUFF
5/18 22:21:04.897  SPELL_AURA_APPLIED,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,6940,"Blessing of Sacrifice",0x2,BUFF
5/18 22:21:04.897  SPELL_CAST_SUCCESS,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,6940,"Blessing of Sacrifice",0x2,Player-3674-0B510B84,0000000000000000,1353481,1353481,19710,2174,15899,0,0,250000,250000,3500,-201.82,-941.10,2080,2.4571,505
5/18 22:21:04.897  SPELL_AURA_APPLIED,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-1305-0BEB23B6,"Touchofblade-Kazzak",0x512,0x20,6940,"Blessing of Sacrifice",0x2,BUFF
5/18 22:21:05.197  SPELL_AURA_APPLIED,Vehicle-0-4246-2519-10505-181861-0000490D44,"Magmatusk",0x10a48,0x0,Vehicle-0-4246-2519-10505-181861-0000490D44,"Magmatusk",0x10a48,0x0,374410,"Magma Tentacle",0x1,BUFF
5/18 22:21:05.197  SPELL_CAST_SUCCESS,Vehicle-0-4246-2519-10505-181861-0000490D44,"Magmatusk",0x10a48,0x0,0000000000000000,nil,0x80000000,0x80000000,374410,"Magma Tentacle",0x1,Vehicle-0-4246-2519-10505-181861-0000490D44,0000000000000000,12899988,12899988,0,0,5043,0,3,0,100,0,-225.61,-923.73,2080,5.8907,72
5/18 22:21:05.422  SPELL_AURA_REMOVED,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,1044,"Blessing of Freedom",0x2,BUFF
5/18 22:21:05.447  SPELL_AURA_APPLIED_DOSE,Vehicle-0-4246-2519-10505-181861-0000490D44,"Magmatusk",0x10a48,0x0,Vehicle-0-4246-2519-10505-181861-0000490D44,"Magmatusk",0x10a48,0x0,374410,"Magma Tentacle",0x1,BUFF,2
5/18 22:21:05.447  SPELL_CAST_SUCCESS,Vehicle-0-4246-2519-10505-181861-0000490D44,"Magmatusk",0x10a48,0x0,0000000000000000,nil,0x80000000,0x80000000,374410,"Magma Tentacle",0x1,Vehicle-0-4246-2519-10505-181861-0000490D44,0000000000000000,12899988,12899988,0,0,5043,0,3,0,100,0,-225.61,-923.73,2080,5.8907,72
5/18 22:21:05.722  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4246-2519-10505-189905-0000490D44,"High Thaumaturge Fural",0xa48,0x0,0
5/18 22:21:05.722  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4246-2519-10505-191498-0000490D44,"Qalashi Mammoth Trainer",0xa48,0x0,0
5/18 22:21:05.722  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4246-2519-10505-191498-0000C90D44,"Qalashi Mammoth Trainer",0xa48,0x0,0
5/18 22:21:05.809  SPELL_AURA_REMOVED,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,Player-3674-0B510B84,"Flick-TwistingNether",0x512,0x0,221886,"Divine Steed",0x2,BUFF
5/18 22:21:05.823  SPELL_AURA_APPLIED,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,Player-1305-0C594315,"Schparkles-Kazzak",0x511,0x0,392268,"Essence Burst",0x40,BUFF
